surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
150.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.19023,0.0031532940170391262,2757630.5941203698,47416.576541838316
150.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.18836,0.0032524322882227165,2729659.2621605983,51437.756790373714
150.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.17399499999999998,0.003252929853467328,2523254.75596462,43387.850080657
150.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.142055,0.0033452991369665977,2058840.6928523139,44924.830387386915
150.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.09564500000000001,0.0025094505584416582,1384339.7244754646,36036.008712641524
150.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.059845,0.006663291031346378,865812.1500543533,95990.36137296034
150.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.03603,0.019137235680047528,522986.4921441472,277519.9819582257
150.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.016470000000000002,0.0019708667609642425,238350.32954063732,28188.704305127038
150.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.009915,0.005742846809177851,143387.3883057207,82529.02290696876
150.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.005545,0.00281471228781165,80465.09915886456,41020.53424652138
150.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.0029649999999999998,0.0013223881904780416,43025.250982676014,19336.540203346718
150.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.001755,0.0009310294246014378,25451.458499666307,13405.530742189458
180.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.189115,0.0031774327604795144,2737878.6601295234,45290.861852755654
180.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.18685000000000002,0.003564813422444723,2707468.621958445,54090.42246131406
180.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.174675,0.0027831967610153466,2529904.763387249,43170.70192389023
