rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_mode,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,chemisorption_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,er_reaction_probability,diffusion_mode,lh_formation_mode,lh_exclude_chemisorption,enable_chemisorption_diffusion,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,enable_grain_cache,grain_cache_dir,lh_diffusion_factor,diffusion_rate_cap_s,arrival_rate_per_site_s,arrival_rate_mode,final_time_mean,final_time_std,final_time_ci95,final_h_atoms_on_surface_mean,final_h_atoms_on_surface_std,final_h_atoms_on_surface_ci95,final_h_surface_coverage_mean,final_h_surface_coverage_std,final_h_surface_coverage_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_LH_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_ER_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_formed_UV_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_formed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_desorbed_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_ER_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_beam_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,total_h2_released_formed_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_beam_ci95,h2_on_surface_mean,h2_on_surface_std,h2_on_surface_ci95,epsilon_mean,epsilon_std,epsilon_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,impinging_h_atoms_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h2_molecules_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95,epsilon_baseline,rate_baseline,epsilon_ratio_to_baseline,rate_ratio_to_baseline
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,200.0,9.060324352379644e-08,gas_kinetic,283513307.10614455,1849688.7263421367,573224.4750825501,8.3,4.507543534781302,1.3969022137829814,0.008530318602261,0.0046326243934031,0.0014356651734665,2698.0,33.44494135985445,10.364694708975096,58.975,7.5735284599276,2.347060786032891,0.0,0.0,0.0,2756.975,32.347066208663996,10.02445967467727,2756.975,32.347066208663996,10.02445967467727,2698.0,33.44494135985445,10.364694708975096,58.975,7.5735284599276,2.347060786032891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756975,0.0032347066208664,0.0010024459674677,20000.0,0.0,0.0,0.0,0.0,0.0,3997802.019115676,51291.47634521409,15895.393200745488,0.2758174999999999,4000297.2792857634,0.9995649297089565,0.9993762313158554
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,500.0,9.060324352379644e-08,gas_kinetic,283464402.8720698,1837152.949995783,569339.5977442418,7.95,4.668223183643612,1.4466973528589977,0.0081706063720452,0.0047977627786676,0.0014868420892692,2699.675,34.01160246980584,10.540304806325876,58.875,7.497649204233523,2.323545561068036,0.0,0.0,0.0,2758.55,33.73117708726316,10.453400079915108,2758.55,33.73117708726316,10.453400079915108,2699.675,34.01160246980584,10.540304806325876,58.875,7.497649204233523,2.323545561068036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758549999999999,0.0033731177087263,0.0010453400079915,20000.0,0.0,0.0,0.0,0.0,0.0,4000758.878240449,51879.61695900571,16077.659865300522,0.2758174999999999,4000297.2792857634,1.0001359594659514,1.0001153911628207
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,50.0,9.060324352379644e-08,gas_kinetic,283382929.0774139,1758119.3177030832,544846.8213437274,8.15,5.141834452650293,1.5934710057462125,0.0083761562178828,0.005284516395324,0.0016376885978892,2701.125,33.73363800916428,10.454162727513538,58.85,7.058546374649453,2.1874661843540135,0.0,0.0,0.0,2759.975,32.59895192589275,10.102519867175053,2759.975,32.59895192589275,10.102519867175053,2701.125,33.73363800916428,10.454162727513538,58.85,7.058546374649453,2.1874661843540135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759975,0.0032598951925892,0.0010102519867175,20000.0,0.0,0.0,0.0,0.0,0.0,4003961.7246546103,49752.16270972439,15418.354962838324,0.2758174999999999,4000297.2792857634,1.0006526054365663,1.00091604326204
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,200.0,9.060324352379644e-08,gas_kinetic,283458774.84606373,1836609.0933630532,569171.0548276001,8.05,4.668223183643612,1.4466973528589977,0.008273381294964,0.0047977627786676,0.0014868420892692,2699.3,33.17567845614677,10.281249270594628,58.875,7.497649204233523,2.323545561068036,0.0,0.0,0.0,2758.175,32.816418264221156,10.169913383641438,2758.175,32.816418264221156,10.169913383641438,2699.3,33.17567845614677,10.281249270594628,58.875,7.497649204233523,2.323545561068036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758174999999999,0.0032816418264221,0.0010169913383641,20000.0,0.0,0.0,0.0,0.0,0.0,4000297.2792857634,50871.60966755561,15765.27516927465,0.2758174999999999,4000297.2792857634,1.0,1.0
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,500.0,9.060324352379644e-08,gas_kinetic,283510337.48945075,1794326.6958924665,556067.6040955198,8.2,4.392300956481431,1.3611881687589085,0.0084275436793422,0.0045141839223858,0.0013989600912218,2700.975,35.14693516200312,10.892148052846515,58.875,7.43928415359628,2.3054580444830903,0.0,0.0,0.0,2759.85,34.57325926796975,10.71436405138639,2759.85,34.57325926796975,10.71436405138639,2700.975,35.14693516200312,10.892148052846515,58.875,7.43928415359628,2.3054580444830903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275985,0.0034573259267969,0.0010714364051386,20000.0,0.0,0.0,0.0,0.0,0.0,4001966.8736675447,51035.12712877064,15815.94975551013,0.2758174999999999,4000297.2792857634,1.0006072856145825,1.0004173675767616
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,50.0,9.060324352379644e-08,gas_kinetic,283361309.67531466,1889820.0207957656,585661.2920831364,8.525,4.750101213496565,1.472071617195932,0.0087615621788283,0.0048819128607364,0.0015129204698827,2698.15,33.18985788861812,10.285643522243353,59.025,7.367591889919682,2.2832403817876123,0.0,0.0,0.0,2757.175,32.46764661818095,10.061827930733674,2757.175,32.46764661818095,10.061827930733674,2698.15,33.18985788861812,10.285643522243353,59.025,7.367591889919682,2.2832403817876123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757174999999999,0.003246764661818,0.0010061827930733,20000.0,0.0,0.0,0.0,0.0,0.0,4000240.206000423,51466.84369606455,15949.740105825384,0.2758174999999999,4000297.2792857634,0.9996374414241301,0.9999857327390053
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,200.0,9.060324352379644e-08,gas_kinetic,283467587.0568674,1841286.0454589603,570620.4572983956,7.875,4.592008107738755,1.4230780561326049,0.0080935251798561,0.0047194327931539,0.0014625673752647,2701.6,35.31383109585629,10.943869638599804,58.9,7.482629456931807,2.318890893155384,0.0,0.0,0.0,2760.5,34.80937097524613,10.787535827554374,2760.5,34.80937097524613,10.787535827554374,2701.6,35.31383109585629,10.943869638599804,58.9,7.482629456931807,2.318890893155384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27605,0.0034809370975246,0.0010787535827554,20000.0,0.0,0.0,0.0,0.0,0.0,4003520.1098602624,51605.130210621406,15992.595540682583,0.2758174999999999,4000297.2792857634,1.0008429486888981,1.0008056477680265
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,500.0,9.060324352379644e-08,gas_kinetic,283505476.5716995,1791273.464665147,555121.3979351748,8.025,4.417259273257512,1.3689228312613964,0.0082476875642343,0.0045398348132142,0.0014069093846468,2700.95,35.13851710894164,10.889539271174954,58.725,7.161103983074834,2.219249116486394,0.0,0.0,0.0,2759.675,34.44459505067709,10.674490597345642,2759.675,34.44459505067709,10.674490597345642,2700.95,35.13851710894164,10.889539271174954,58.725,7.161103983074834,2.219249116486394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759675,0.0034444595050677,0.0010674490597345,20000.0,0.0,0.0,0.0,0.0,0.0,4001782.828442858,50963.566033448085,15793.77274230871,0.2758174999999999,4000297.2792857634,1.0005438378638052,1.0003713596898878
6100,0.005,25,80.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,50.0,9.060324352379644e-08,gas_kinetic,283500795.82874906,1863003.6729021044,577350.8197717364,9.875,4.707808570711169,1.4589649914078977,0.0101490236382322,0.0048384466297134,0.0014994501453318,2643.5,36.30921335362382,11.252341796152296,65.875,9.010499573503267,2.792382747808117,0.0,0.0,0.0,2709.375,35.34205564813537,10.952616517971563,2709.375,35.34205564813537,10.952616517971563,2643.5,36.30921335362382,11.252341796152296,65.875,9.010499573503267,2.792382747808117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2709374999999999,0.0035342055648135,0.0010952616517971,20000.0,0.0,0.0,0.0,0.0,0.0,3928985.8050582698,57467.58676324698,17809.38964890999,0.2701125,3915629.940955389,1.0030542829376645,1.0034109107102247
6100,0.005,25,80.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,200.0,9.060324352379644e-08,gas_kinetic,283926116.90831554,2031370.076111996,629528.1086999035,9.8,5.653226897885345,1.7519531664504897,0.0100719424460431,0.0058100995867269,0.0018005685163931,2636.875,36.228751508952605,11.227406412150122,65.225,8.213458311569946,2.5453771016773894,0.0,0.0,0.0,2702.1,34.71333151132839,10.757772889332696,2702.1,34.71333151132839,10.757772889332696,2636.875,36.228751508952605,11.227406412150122,65.225,8.213458311569946,2.5453771016773894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702099999999999,0.0034713331511328,0.0010757772889332,20000.0,0.0,0.0,0.0,0.0,0.0,3912592.187144504,57319.13405859408,17763.383679101476,0.2701125,3915629.940955389,1.0003609607108146,0.99922419793068
