surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,ct_model_variant,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct_epsilon,ct_h2_release_rate_cm2_s,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
30.0,10000.0,0.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9967924221058659,90312626.56273265,0.9967924221058659,90312626.56273265,30918983.70227767,0.3423550491115529,-0.4655232626992009
30.0,10000.0,1.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9967924221058659,90312626.56273265,0.9967924221058659,90312626.56273265,30911262.195516855,0.342269551578653,-0.46563173413569425
30.0,10000.0,10.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9967924221058659,90312626.56273265,0.9967924221058659,90312626.56273265,30797672.14855683,0.34101180887662763,-0.4672305815906165
30.0,10000.0,100.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9967924221058659,90312626.56273265,0.9967924221058659,90312626.56273265,30718796.495334268,0.3401384464662478,-0.46834427619884667
40.0,10.0,0.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9832482644259322,89085.48194613292,0.9832482644259322,89085.48194613292,30868.919833557964,0.34650898394671525,-0.46028550094278264
40.0,10.0,1.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9832482644259322,89085.48194613292,0.9832482644259322,89085.48194613292,30864.12407948642,0.3464551507747239,-0.4603529775939246
40.0,10.0,10.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9832482644259322,89085.48194613292,0.9832482644259322,89085.48194613292,30466.744746811728,0.3419944987807775,-0.46598087981628467
40.0,10.0,100.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9832482644259322,89085.48194613292,0.9832482644259322,89085.48194613292,23670.48911557761,0.2657053494966821,-0.5755997017677332
40.0,100.0,0.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9832482644259322,890854.8194613291,0.9832482644259322,890854.8194613291,308688.93069034384,0.3465086835102918,-0.4602858774927236
40.0,100.0,1.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9832482644259322,890854.8194613291,0.9832482644259322,890854.8194613291,308324.7710307995,0.3460999079706763,-0.46079851618646395
