temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
20.5,0.3645985059415492,0.02163699587417321,0.013410748982466452,0.3944578879545448,0.020851435964696425,0.012923853906183835,511.8,93.3,100.9,0.0025348383817538644,0.0005662923261206497,0.0003509916201151589,79.6,13.7,0.0,0.8531618435155413,0.14683815648445875,0.0
21.5,0.34317939138544146,0.026524120865551476,0.016439820434272924,0.34317939138544146,0.026524120865551476,0.016439820434272924,520.0,89.1,89.1,0.0,0.0,0.0,74.0,15.1,0.0,0.8305274971941639,0.16947250280583614,0.0
22.5,0.3417761055365825,0.021938992581686027,0.01359792848102244,0.3417761055365825,0.021938992581686027,0.01359792848102244,508.3,86.8,86.8,0.0,0.0,0.0,72.5,14.3,0.0,0.8352534562211982,0.16474654377880185,0.0
23.5,0.32140558258059804,0.03244597397567229,0.020110223018471925,0.32140558258059804,0.03244597397567229,0.020110223018471925,519.2,83.5,83.5,0.0,0.0,0.0,71.0,12.5,0.0,0.8502994011976048,0.1497005988023952,0.0
24.5,0.32152589023386574,0.0148430919490837,0.009199843703368852,0.32152589023386574,0.0148430919490837,0.009199843703368852,510.8,82.1,82.1,0.0,0.0,0.0,68.2,13.9,0.0,0.830694275274056,0.16930572472594396,0.0
25.5,0.30653656116126576,0.024173518401403894,0.014982901932852037,0.30653656116126576,0.024173518401403894,0.014982901932852037,517.6,79.3,79.3,0.0,0.0,0.0,66.0,13.3,0.0,0.832282471626734,0.1677175283732661,0.0
26.5,0.3016152050299587,0.02944620034539806,0.01825094405970256,0.3016152050299587,0.02944620034539806,0.01825094405970256,509.0,76.9,76.9,0.0,0.0,0.0,64.9,12.0,0.0,0.8439531859557867,0.15604681404421328,0.0
27.5,0.3104744305444043,0.02723034537654594,0.016877542921132426,0.3104744305444043,0.02723034537654594,0.016877542921132426,515.1,79.9,79.9,0.0,0.0,0.0,67.9,12.0,0.0,0.8498122653316645,0.15018773466833543,0.0
28.5,0.30217044864013065,0.03612318366972541,0.022389381199654647,0.30217044864013065,0.03612318366972541,0.022389381199654647,509.7,76.9,76.9,0.0,0.0,0.0,64.6,12.3,0.0,0.8400520156046815,0.1599479843953186,0.0
29.5,0.30394771108222185,0.02440081837090926,0.015123783913533896,0.30394771108222185,0.02440081837090926,0.015123783913533896,516.7,78.5,78.5,0.0,0.0,0.0,65.0,13.5,0.0,0.8280254777070064,0.17197452229299362,0.0
30.5,0.30303761320480505,0.04082976699114555,0.025306551765092056,0.30303761320480505,0.04082976699114555,0.025306551765092056,520.0,79.1,79.1,0.0,0.0,0.0,66.1,13.0,0.0,0.8356510745891277,0.16434892541087232,0.0
31.5,0.28497595903455836,0.021312530187673328,0.013209643066452137,0.28497595903455836,0.021312530187673328,0.013209643066452137,518.0,73.8,73.8,0.0,0.0,0.0,60.4,13.4,0.0,0.8184281842818428,0.18157181571815717,0.0
32.5,0.2950581995715904,0.019513851267234324,0.01209481032153981,0.2950581995715904,0.019513851267234324,0.01209481032153981,534.3,78.8,78.8,0.0,0.0,0.0,65.7,13.1,0.0,0.833756345177665,0.16624365482233502,0.0
33.5,0.2994333579728221,0.011350969039008531,0.007035403499410644,0.2994333579728221,0.011350969039008531,0.007035403499410644,508.8,76.2,76.2,0.0,0.0,0.0,61.7,14.5,0.0,0.8097112860892388,0.19028871391076116,0.0
34.5,0.2965687781595549,0.03141170230455299,0.01946917479524731,0.2965687781595549,0.03141170230455299,0.01946917479524731,518.6,76.9,76.9,0.0,0.0,0.0,64.7,12.2,0.0,0.8413524057217165,0.15864759427828348,0.0
35.5,0.29327574625883823,0.011593664048539948,0.0071858274247582525,0.29327574625883823,0.011593664048539948,0.0071858274247582525,525.6,77.1,77.1,0.0,0.0,0.0,63.9,13.2,0.0,0.8287937743190662,0.17120622568093385,0.0
36.5,0.29890570353715734,0.03235662280664682,0.020054842590150966,0.29890570353715734,0.03235662280664682,0.020054842590150966,510.9,76.3,76.3,0.0,0.0,0.0,64.1,12.2,0.0,0.8401048492791612,0.1598951507208388,0.0
37.5,0.3028094427779444,0.015602150819712323,0.009670313265599792,0.3028094427779444,0.015602150819712323,0.009670313265599792,514.5,77.9,77.9,0.0,0.0,0.0,65.8,12.1,0.0,0.8446726572528883,0.15532734274711169,0.0
38.5,0.2827869016042934,0.02163606766071275,0.013410173669803235,0.2827869016042934,0.02163606766071275,0.013410173669803235,520.1,73.5,73.5,0.0,0.0,0.0,60.6,12.9,0.0,0.8244897959183674,0.17551020408163265,0.0
39.5,0.30334656012142,0.02788909047383286,0.017285837362492017,0.30334656012142,0.02788909047383286,0.017285837362492017,513.8,78.0,78.0,0.0,0.0,0.0,64.4,13.6,0.0,0.8256410256410256,0.17435897435897435,0.0
40.5,0.31417635411648126,0.029081591600576398,0.018024957218366052,0.31417635411648126,0.029081591600576398,0.018024957218366052,504.1,79.2,79.2,0.0,0.0,0.0,68.0,11.2,0.0,0.8585858585858586,0.1414141414141414,0.0
41.5,0.30221012240433287,0.021282793904269202,0.013191212327049897,0.30221012240433287,0.021282793904269202,0.013191212327049897,519.4,78.5,78.5,0.0,0.0,0.0,66.2,12.3,0.0,0.8433121019108281,0.15668789808917197,0.0
42.5,0.30385958514144124,0.030719754547681114,0.01904030113226964,0.30385958514144124,0.030719754547681114,0.01904030113226964,509.3,77.4,77.4,0.0,0.0,0.0,65.2,12.2,0.0,0.8423772609819121,0.15762273901808785,0.0
