temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
22.5,0.3339123720132663,0.032976099655531124,0.014452412890664696,0.3339123720132663,0.032976099655531124,0.014452412890664696,519.2,86.75,86.75,0.0,0.0,0.0,72.2,14.55,0.0,0.8322766570605188,0.16772334293948127,0.0
23.5,0.31510992671185767,0.020623831670438582,0.009038792756036286,0.31510992671185767,0.020623831670438582,0.009038792756036286,520.9,82.0,82.0,0.0,0.0,0.0,69.0,13.0,0.0,0.8414634146341463,0.15853658536585366,0.0
24.5,0.30846402087761743,0.03278454540211033,0.014368460537587188,0.30846402087761743,0.03278454540211033,0.014368460537587188,522.2,80.5,80.5,0.0,0.0,0.0,66.75,13.75,0.0,0.8291925465838509,0.17080745341614906,0.0
25.5,0.3038045941305486,0.027103709121116284,0.011878724263290629,0.3038045941305486,0.027103709121116284,0.011878724263290629,507.75,77.2,77.2,0.0,0.0,0.0,64.2,13.0,0.0,0.8316062176165803,0.16839378238341968,0.0
26.5,0.29594969509696356,0.025277432037334523,0.011078323041093754,0.29594969509696356,0.025277432037334523,0.011078323041093754,506.2,74.85,74.85,0.0,0.0,0.0,60.6,14.25,0.0,0.8096192384769539,0.1903807615230461,0.0
27.5,0.29173872228019293,0.028341892002036097,0.012421381836992023,0.29173872228019293,0.028341892002036097,0.012421381836992023,513.4,74.75,74.75,0.0,0.0,0.0,62.25,12.5,0.0,0.8327759197324415,0.16722408026755853,0.0
28.5,0.30790071905935573,0.03068182307619942,0.013446901846112707,0.30790071905935573,0.03068182307619942,0.013446901846112707,513.15,78.9,78.9,0.0,0.0,0.0,64.45,14.45,0.0,0.8168567807351077,0.18314321926489227,0.0
29.5,0.2919876496656385,0.020887764878394863,0.009154466584560214,0.2919876496656385,0.020887764878394863,0.009154466584560214,506.75,73.95,73.95,0.0,0.0,0.0,61.8,12.15,0.0,0.8356997971602435,0.1643002028397566,0.0
30.5,0.30718297600823796,0.023203437859658567,0.0101693550157142,0.30718297600823796,0.023203437859658567,0.0101693550157142,519.8,79.75,79.75,0.0,0.0,0.0,66.1,13.65,0.0,0.8288401253918495,0.17115987460815046,0.0
31.5,0.29123594532786,0.016125984644605608,0.007067524382413362,0.29123594532786,0.016125984644605608,0.007067524382413362,519.25,75.6,75.6,0.0,0.0,0.0,63.15,12.45,0.0,0.8353174603174603,0.16468253968253968,0.0
32.5,0.3031082746738635,0.02364979009402213,0.010364977507551585,0.3031082746738635,0.02364979009402213,0.010364977507551585,522.2,79.1,79.1,0.0,0.0,0.0,66.4,12.7,0.0,0.8394437420986094,0.16055625790139064,0.0
