temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
20.5,0.38727667231675317,0.04951034067082754,0.043397727033024025,0.38727667231675317,0.04951034067082754,0.043397727033024025,524.8,101.8,101.8,0.0,0.0,0.0,86.4,15.4,0.0,0.8487229862475442,0.1512770137524558,0.0
21.5,0.3536857797657875,0.03404659009837255,0.029843152025916645,0.3536857797657875,0.03404659009837255,0.029843152025916645,487.4,86.0,86.0,0.0,0.0,0.0,69.8,16.2,0.0,0.8116279069767441,0.1883720930232558,0.0
22.5,0.3441406926689627,0.04666846260171087,0.04090671107487022,0.3441406926689627,0.04666846260171087,0.04090671107487022,525.6,90.4,90.4,0.0,0.0,0.0,75.0,15.4,0.0,0.8296460176991151,0.17035398230088494,0.0
23.5,0.3432092833386013,0.03323416425867214,0.029131029379451643,0.3432092833386013,0.03323416425867214,0.029131029379451643,500.0,85.6,85.6,0.0,0.0,0.0,70.4,15.2,0.0,0.822429906542056,0.17757009345794392,0.0
24.5,0.29899078620673525,0.030107065069922334,0.02639000608694747,0.29899078620673525,0.030107065069922334,0.02639000608694747,517.8,77.6,77.6,0.0,0.0,0.0,67.8,9.8,0.0,0.8737113402061856,0.12628865979381443,0.0
25.5,0.30391311312327546,0.044722025528782884,0.03920058375614508,0.30391311312327546,0.044722025528782884,0.03920058375614508,526.6,80.0,80.0,0.0,0.0,0.0,65.8,14.2,0.0,0.8225,0.1775,0.0
26.5,0.2967513123875719,0.026327338176339875,0.023076929388937153,0.2967513123875719,0.026327338176339875,0.023076929388937153,512.4,76.0,76.0,0.0,0.0,0.0,62.0,14.0,0.0,0.8157894736842105,0.18421052631578946,0.0
27.5,0.32075507699967465,0.03306152223655598,0.02897970197493954,0.32075507699967465,0.03306152223655598,0.02897970197493954,510.4,81.8,81.8,0.0,0.0,0.0,68.8,13.0,0.0,0.8410757946210269,0.15892420537897312,0.0
28.5,0.3029817677440879,0.04398961199323348,0.038558594986518355,0.3029817677440879,0.04398961199323348,0.038558594986518355,519.0,79.0,79.0,0.0,0.0,0.0,66.0,13.0,0.0,0.8354430379746836,0.16455696202531644,0.0
29.5,0.31048580634532563,0.016176043870925177,0.01417892761134375,0.31048580634532563,0.016176043870925177,0.01417892761134375,524.2,81.4,81.4,0.0,0.0,0.0,65.6,15.8,0.0,0.8058968058968059,0.1941031941031941,0.0
30.5,0.2899460813239255,0.05118063977232793,0.044861808747839,0.2899460813239255,0.05118063977232793,0.044861808747839,514.4,74.6,74.6,0.0,0.0,0.0,60.4,14.2,0.0,0.8096514745308311,0.1903485254691689,0.0
31.5,0.2718508127679373,0.01499949471330095,0.013147636804379139,0.2718508127679373,0.01499949471330095,0.013147636804379139,511.2,69.6,69.6,0.0,0.0,0.0,56.8,12.8,0.0,0.8160919540229885,0.1839080459770115,0.0
32.5,0.2823767015118094,0.024061761538706098,0.021091063907903215,0.2823767015118094,0.024061761538706098,0.021091063907903215,512.4,72.4,72.4,0.0,0.0,0.0,59.6,12.8,0.0,0.8232044198895028,0.17679558011049723,0.0
33.5,0.3205568802586911,0.018919150663033204,0.016583366727968164,0.3205568802586911,0.018919150663033204,0.016583366727968164,517.2,82.8,82.8,0.0,0.0,0.0,68.6,14.2,0.0,0.8285024154589372,0.17149758454106281,0.0
34.5,0.3008649557288406,0.03236945952544188,0.028373082262375924,0.3008649557288406,0.03236945952544188,0.028373082262375924,533.6,80.2,80.2,0.0,0.0,0.0,66.2,14.0,0.0,0.8254364089775561,0.1745635910224439,0.0
35.5,0.30146422842665244,0.020314773220312256,0.017806683836299318,0.30146422842665244,0.020314773220312256,0.017806683836299318,493.8,74.4,74.4,0.0,0.0,0.0,62.2,12.2,0.0,0.8360215053763441,0.1639784946236559,0.0
36.5,0.3082266431479729,0.02541636049376103,0.022278422243438394,0.3082266431479729,0.02541636049376103,0.022278422243438394,523.0,80.6,80.6,0.0,0.0,0.0,65.6,15.0,0.0,0.8138957816377171,0.18610421836228289,0.0
37.5,0.30034925958027586,0.014475579119460761,0.012688404538517996,0.30034925958027586,0.014475579119460761,0.012688404538517996,529.2,79.6,79.6,0.0,0.0,0.0,69.2,10.4,0.0,0.8693467336683417,0.1306532663316583,0.0
38.5,0.2876620931482924,0.03056679957525101,0.026792981148310194,0.2876620931482924,0.03056679957525101,0.026792981148310194,524.4,75.6,75.6,0.0,0.0,0.0,63.6,12.0,0.0,0.8412698412698413,0.15873015873015872,0.0
39.5,0.29945469417248516,0.02394606984311945,0.020989655665563742,0.29945469417248516,0.02394606984311945,0.020989655665563742,505.8,75.8,75.8,0.0,0.0,0.0,65.2,10.6,0.0,0.8601583113456465,0.13984168865435356,0.0
40.5,0.29455398703822716,0.03536449836530023,0.030998349555316666,0.29455398703822716,0.03536449836530023,0.030998349555316666,510.0,75.2,75.2,0.0,0.0,0.0,61.0,14.2,0.0,0.8111702127659575,0.18882978723404256,0.0
41.5,0.30757229173726286,0.02485389610610178,0.021785400469992673,0.30757229173726286,0.02485389610610178,0.021785400469992673,501.8,77.2,77.2,0.0,0.0,0.0,65.6,11.6,0.0,0.8497409326424871,0.15025906735751296,0.0
42.5,0.28384885472456134,0.02419848715603505,0.02121090919555157,0.28384885472456134,0.02419848715603505,0.02121090919555157,508.4,72.0,72.0,0.0,0.0,0.0,61.6,10.4,0.0,0.8555555555555555,0.14444444444444443,0.0
43.5,0.32059916658371496,0.022667441388066062,0.0198688884093255,0.32059916658371496,0.022667441388066062,0.0198688884093255,522.8,83.8,83.8,0.0,0.0,0.0,72.0,11.8,0.0,0.8591885441527446,0.14081145584725538,0.0
44.5,0.3090305240956771,0.02455860291214947,0.02152656457324428,0.3090305240956771,0.02455860291214947,0.02152656457324428,521.6,80.6,80.6,0.0,0.0,0.0,67.8,12.8,0.0,0.8411910669975186,0.1588089330024814,0.0
45.5,0.2735518435654156,0.031181455897502475,0.02733175116949708,0.2735518435654156,0.031181455897502475,0.02733175116949708,511.2,70.2,70.2,0.0,0.0,0.0,60.4,9.8,0.0,0.8603988603988604,0.1396011396011396,0.0
46.5,0.2918513135008774,0.023859353680225272,0.020913645597451846,0.2918513135008774,0.023859353680225272,0.020913645597451846,512.0,74.6,74.6,0.0,0.0,0.0,62.4,12.2,0.0,0.8364611260053619,0.16353887399463807,0.0
47.5,0.28587908417640523,0.024989945040103406,0.02190465261855273,0.28587908417640523,0.024989945040103406,0.02190465261855273,510.8,73.0,73.0,0.0,0.0,0.0,61.6,11.4,0.0,0.8438356164383561,0.15616438356164383,0.0
48.5,0.2967211935872416,0.0301835623675324,0.02645705892470752,0.2967211935872416,0.0301835623675324,0.02645705892470752,525.8,78.0,78.0,0.0,0.0,0.0,66.8,11.2,0.0,0.8564102564102564,0.14358974358974358,0.0
49.5,0.31484056921978254,0.03833773972356444,0.033604510513228956,0.31484056921978254,0.03833773972356444,0.033604510513228956,515.4,80.8,80.8,0.0,0.0,0.0,67.0,13.8,0.0,0.8292079207920792,0.1707920792079208,0.0
50.5,0.3044158420193489,0.019667838448006004,0.01723962050616835,0.3044158420193489,0.019667838448006004,0.01723962050616835,503.8,76.6,76.6,0.0,0.0,0.0,63.4,13.2,0.0,0.8276762402088773,0.17232375979112272,0.0
51.5,0.30336428293374407,0.017524091613793837,0.015360543556211788,0.30336428293374407,0.017524091613793837,0.015360543556211788,490.4,74.4,74.4,0.0,0.0,0.0,62.4,12.0,0.0,0.8387096774193549,0.16129032258064516,0.0
