temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
60.5,0.3151969981238274,0.0,0.0,533.0,84.0,0.0,0.0,0.0,73.0,11.0,0.0,0.8690476190476191,0.13095238095238096,0.0
61.5,0.2946058091286307,0.0,0.0,482.0,71.0,0.0,0.0,0.0,59.0,12.0,0.0,0.8309859154929577,0.16901408450704225,0.0
62.5,0.2845849802371542,0.0,0.0,506.0,72.0,0.0,0.0,0.0,61.0,11.0,0.0,0.8472222222222222,0.1527777777777778,0.0
63.5,0.24803149606299213,0.0,0.0,508.0,63.0,0.0,0.0,0.0,49.0,14.0,0.0,0.7777777777777778,0.2222222222222222,0.0
64.5,0.2894736842105263,0.0,0.0,532.0,77.0,0.0,0.0,0.0,61.0,16.0,0.0,0.7922077922077922,0.2077922077922078,0.0
65.5,0.32558139534883723,0.0,0.0,516.0,84.0,0.0,0.0,0.0,65.0,19.0,0.0,0.7738095238095238,0.2261904761904762,0.0
66.5,0.3101391650099404,0.0,0.0,503.0,78.0,0.0,0.0,0.0,65.0,13.0,0.0,0.8333333333333334,0.16666666666666666,0.0
67.5,0.28793774319066145,0.0,0.0,514.0,74.0,0.0,0.0,0.0,65.0,9.0,0.0,0.8783783783783784,0.12162162162162163,0.0
68.5,0.27655310621242485,0.0,0.0,499.0,69.0,0.0,0.0,0.0,58.0,11.0,0.0,0.8405797101449275,0.15942028985507245,0.0
69.5,0.3153692614770459,0.0,0.0,501.0,79.0,0.0,0.0,0.0,63.0,16.0,0.0,0.7974683544303798,0.20253164556962025,0.0
70.5,0.28125,0.0,0.0,512.0,72.0,0.0,0.0,0.0,55.0,17.0,0.0,0.7638888888888888,0.2361111111111111,0.0
71.5,0.3044397463002114,0.0,0.0,473.0,72.0,0.0,0.0,0.0,55.0,17.0,0.0,0.7638888888888888,0.2361111111111111,0.0
72.5,0.291497975708502,0.0,0.0,494.0,72.0,0.0,0.0,0.0,63.0,9.0,0.0,0.875,0.125,0.0
73.5,0.27586206896551724,0.0,0.0,551.0,76.0,0.0,0.0,0.0,67.0,9.0,0.0,0.881578947368421,0.11842105263157894,0.0
74.5,0.25,0.0,0.0,520.0,65.0,0.0,0.0,0.0,52.0,13.0,0.0,0.8,0.2,0.0
75.5,0.33001988071570576,0.0,0.0,503.0,83.0,0.0,0.0,0.0,69.0,14.0,0.0,0.8313253012048193,0.1686746987951807,0.0
76.5,0.2976190476190476,0.0,0.0,504.0,75.0,0.0,0.0,0.0,68.0,7.0,0.0,0.9066666666666666,0.09333333333333334,0.0
77.5,0.28142589118198874,0.0,0.0,533.0,75.0,0.0,0.0,0.0,64.0,11.0,0.0,0.8533333333333334,0.14666666666666667,0.0
78.5,0.29902912621359223,0.0,0.0,515.0,77.0,0.0,0.0,0.0,69.0,8.0,0.0,0.8961038961038961,0.1038961038961039,0.0
79.5,0.30326295585412666,0.0,0.0,521.0,79.0,0.0,0.0,0.0,66.0,13.0,0.0,0.8354430379746836,0.16455696202531644,0.0
