rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,chemisorption_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,er_reaction_probability,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,diffusion_mode,diffusion_rate_cap_s,enable_chemisorption_diffusion,lh_exclude_chemisorption,lh_formation_mode,enable_grain_cache,grain_cache_dir,gas_flux_h_cm2_s,arrival_rate_per_site_s,run_id,final_time,final_h_atoms_on_surface,h2_formed_LH,h2_formed_ER,h2_formed_UV,total_h2_formed,total_h2_desorbed,total_h2_desorbed_LH,total_h2_desorbed_ER,total_h2_desorbed_UV,total_h2_desorbed_beam,total_h2_released_formed,total_h2_released_beam,total_h2_released_formed_gas,total_h2_released_total_gas,h2_on_surface,impinging_h_atoms,impinging_h2_molecules,epsilon,adsorption_rate_s,adsorption_rate_cm2_s,h2_release_rate_s,h2_release_rate_cm2_s
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,0,678663432.8733166,7,812,2,0,814,424,424,0,0,0,0,0,424.0,424.0,485,5000,0,0.1696,2.4592455098601805e-06,782802.1583415921,6.24757397352137e-07,198866.45604363992
1235,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,1,679456088.7508985,2,835,5,0,840,463,461,2,0,0,0,0,463.0,463.0,487,5000,0,0.1852,2.506416570835017e-06,797817.1733916609,6.814274059287216e-07,216905.080023687
1236,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,2,668249017.4183348,2,851,1,0,852,477,476,1,0,0,0,0,477.0,477.0,486,5000,0,0.1908,2.606812662037151e-06,829774.2417555097,7.13805763370678e-07,227211.43129585427
1237,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,3,680606674.9979409,1,844,6,0,850,471,465,6,0,0,0,0,471.0,471.0,475,5000,0,0.1884,2.5359727775300205e-06,807225.2061807719,6.920296513422014e-07,220279.87955454437
1238,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,4,695000688.9928675,6,797,5,0,802,436,435,1,0,0,0,0,436.0,436.0,484,5000,0,0.1744,2.3467602634516787e-06,746996.9923599464,6.273375075811969e-07,199687.73063699363
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,0,685515669.9084679,2,864,5,0,869,484,481,3,0,0,0,0,484.0,484.0,471,5000,0,0.1936,2.57908035893048e-06,820946.7755100109,7.060378358158102e-07,224738.82315998035
1235,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,1,677858999.0904896,8,840,0,0,840,478,478,0,0,0,0,0,478.0,478.0,465,5000,0,0.1912,2.5137971204724353e-06,800166.4753067214,7.051613988179719e-07,224459.8445989512
1236,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,2,682503211.6917938,3,820,4,0,824,440,439,1,0,0,0,0,440.0,440.0,498,5000,0,0.176,2.480574407559753e-06,789591.3573407686,6.446856109428773e-07,205209.80344355473
1237,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,3,686088480.7522357,3,836,2,0,838,454,452,2,0,0,0,0,454.0,454.0,476,5000,0,0.1816,2.501135127816979e-06,796136.0378657031,6.617222307860773e-07,210632.72796680024
1238,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,4,683760354.5623597,5,848,1,0,849,481,481,0,0,0,0,0,481.0,481.0,455,5000,0,0.1924,2.5462137258810883e-06,810485.0012848146,7.034628386839768e-07,223919.17611602286
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,0,66934099.050832495,2,837,1,0,838,448,448,0,0,0,0,0,448.0,448.0,498,5000,0,0.1792,2.5308475411217638e-05,8055937.927629948,6.693150521974912e-06,2130495.9808608126
1235,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,1,68739471.44433841,5,821,2,0,823,443,443,0,0,0,0,0,443.0,443.0,500,5000,0,0.1772,2.420734353983823e-05,7705436.766977825,6.444623310185298e-06,2051387.3123624858
1236,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,2,67538576.634014,7,835,2,0,837,475,475,0,0,0,0,0,475.0,475.0,474,5000,0,0.19,2.514118722402639e-05,8002688.44380521,7.033017627451435e-06,2238679.0405226587
1237,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,3,68588346.83940127,1,864,4,0,868,482,480,2,0,0,0,0,482.0,482.0,486,5000,0,0.1928,2.5558277473936306e-05,8135452.393782404,7.027432825121106e-06,2236901.3427285333
1238,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,4,67677865.04709579,3,831,7,0,838,464,463,1,0,0,0,0,464.0,464.0,484,5000,0,0.1856,2.4941685125932262e-05,7939184.95366744,6.856008233668584e-06,2182335.200534178
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,0,67345218.36394832,2,805,7,0,812,419,416,3,0,0,0,0,419.0,419.0,501,5000,0,0.1676,2.414425314077593e-05,7685354.469233014,6.221674087321719e-06,1980420.3706080152
1235,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,1,66794641.58967924,7,810,3,0,813,449,446,3,0,0,0,0,449.0,449.0,484,5000,0,0.1796,2.456783899044918e-05,7820186.032831571,6.7220961040290564e-06,2139709.645789991
1236,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,2,66952685.06531266,1,856,0,0,856,498,498,0,0,0,0,0,498.0,498.0,470,5000,0,0.1992,2.5824207024906504e-05,8220100.398884634,7.43808854737041e-06,2367617.118938431
1237,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,3,68617504.58264899,2,844,4,0,848,472,468,4,0,0,0,0,472.0,472.0,470,5000,0,0.1888,2.494990178399618e-05,7941800.397160577,6.8787112395129645e-06,2189561.7917405325
