temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
23.5,0.28212224359301286,0.03181567746959661,0.027887670888312795,503.6,70.8,0.0,0.0,0.0,24.8,46.0,0.0,0.3502824858757062,0.6497175141242938,0.0
24.5,0.2802245976194536,0.029752709002094174,0.026079399298633378,515.0,72.0,0.0,0.0,0.0,24.2,47.8,0.0,0.33611111111111114,0.6638888888888889,0.0
25.5,0.27397721834377575,0.022157838839152656,0.0194222020805015,504.2,69.0,0.0,0.0,0.0,21.4,47.6,0.0,0.3101449275362319,0.6898550724637681,0.0
26.5,0.2831669835214251,0.03480021570280243,0.03050373399370376,521.8,74.0,0.0,0.0,0.0,21.6,52.4,0.0,0.2918918918918919,0.7081081081081081,0.0
27.5,0.27974051663289085,0.02702870256043208,0.023691702377349508,533.6,74.6,0.0,0.0,0.0,25.2,49.4,0.0,0.3378016085790885,0.6621983914209115,0.0
28.5,0.26437691936469837,0.02174657443558467,0.019061712936564765,516.0,68.2,0.0,0.0,0.0,23.2,45.0,0.0,0.34017595307917886,0.6598240469208211,0.0
29.5,0.2576761942977238,0.027551644053026226,0.024150080805822226,538.6,69.4,0.0,0.0,0.0,25.0,44.4,0.0,0.36023054755043227,0.6397694524495677,0.0
30.5,0.2718351835813005,0.026452259813011192,0.023186428031348526,519.8,70.8,0.0,0.0,0.0,25.0,45.8,0.0,0.3531073446327684,0.6468926553672316,0.0
31.5,0.27003250928014993,0.02687968051131065,0.023561078792012632,513.2,69.4,0.0,0.0,0.0,21.4,48.0,0.0,0.30835734870317005,0.69164265129683,0.0
32.5,0.26636636819948095,0.029107252851687204,0.025513632037741697,514.8,68.6,0.0,0.0,0.0,24.8,43.8,0.0,0.36151603498542273,0.6384839650145773,0.0
33.5,0.2950123932259689,0.022360669915225853,0.01959999135752875,513.8,75.8,0.0,0.0,0.0,23.2,52.6,0.0,0.30606860158311344,0.6939313984168866,0.0
34.5,0.2783385915003088,0.017018486095669246,0.014917360779348156,517.8,72.0,0.0,0.0,0.0,20.8,51.2,0.0,0.28888888888888886,0.7111111111111111,0.0
35.5,0.27806915134195526,0.012658649610413167,0.011095795604636149,499.4,69.6,0.0,0.0,0.0,22.8,46.8,0.0,0.3275862068965517,0.6724137931034483,0.0
36.5,0.3128971890872234,0.05021171550283368,0.04401250917943673,527.4,82.4,0.0,0.0,0.0,25.2,57.2,0.0,0.3058252427184466,0.6941747572815534,0.0
37.5,0.28474600916796644,0.018948354823344248,0.016608965303139232,510.2,72.8,0.0,0.0,0.0,24.2,48.6,0.0,0.3324175824175824,0.6675824175824175,0.0
38.5,0.29096355208498886,0.03808479490173887,0.033382794601294806,510.0,74.0,0.0,0.0,0.0,19.8,54.2,0.0,0.26756756756756755,0.7324324324324324,0.0
