temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
68.5,0.29749830966869506,0.0,0.0,1479.0,220.0,0.0,0.0,0.0,171.0,49.0,0.0,0.7772727272727272,0.22272727272727272,0.0
69.5,0.31643835616438354,0.0,0.0,1460.0,231.0,0.0,0.0,0.0,173.0,58.0,0.0,0.7489177489177489,0.2510822510822511,0.0
70.5,0.32789115646258504,0.0,0.0,1470.0,241.0,0.0,0.0,0.0,185.0,56.0,0.0,0.7676348547717843,0.23236514522821577,0.0
71.5,0.3338048090523338,0.0,0.0,1414.0,236.0,0.0,0.0,0.0,170.0,66.0,0.0,0.7203389830508474,0.2796610169491525,0.0
72.5,0.3285616905248807,0.0,0.0,1467.0,241.0,0.0,0.0,0.0,176.0,65.0,0.0,0.7302904564315352,0.2697095435684647,0.0
73.5,0.2992805755395683,0.0,0.0,1390.0,208.0,0.0,0.0,0.0,146.0,62.0,0.0,0.7019230769230769,0.2980769230769231,0.0
74.5,0.31377899045020463,0.0,0.0,1466.0,230.0,0.0,0.0,0.0,163.0,67.0,0.0,0.7086956521739131,0.29130434782608694,0.0
75.5,0.34039644565960353,0.0,0.0,1463.0,249.0,0.0,0.0,0.0,187.0,62.0,0.0,0.751004016064257,0.24899598393574296,0.0
76.5,0.30286113049546404,0.0,0.0,1433.0,217.0,0.0,0.0,0.0,162.0,55.0,0.0,0.7465437788018433,0.2534562211981567,0.0
77.5,0.33379120879120877,0.0,0.0,1456.0,243.0,0.0,0.0,0.0,172.0,71.0,0.0,0.7078189300411523,0.29218106995884774,0.0
78.5,0.3289198606271777,0.0,0.0,1435.0,236.0,0.0,0.0,0.0,171.0,65.0,0.0,0.7245762711864406,0.2754237288135593,0.0
79.5,0.3132848645076008,0.0,0.0,1513.0,237.0,0.0,0.0,0.0,167.0,70.0,0.0,0.7046413502109705,0.29535864978902954,0.0
