shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
84,anvil/generated_mrn_r8/config_shard_0084.yaml,80.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0084.csv,results/anvil_mrn_r8/raw_chunk_0084.csv
85,anvil/generated_mrn_r8/config_shard_0085.yaml,80.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0085.csv,results/anvil_mrn_r8/raw_chunk_0085.csv
86,anvil/generated_mrn_r8/config_shard_0086.yaml,80.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0086.csv,results/anvil_mrn_r8/raw_chunk_0086.csv
87,anvil/generated_mrn_r8/config_shard_0087.yaml,80.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0087.csv,results/anvil_mrn_r8/raw_chunk_0087.csv
88,anvil/generated_mrn_r8/config_shard_0088.yaml,80.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0088.csv,results/anvil_mrn_r8/raw_chunk_0088.csv
89,anvil/generated_mrn_r8/config_shard_0089.yaml,80.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0089.csv,results/anvil_mrn_r8/raw_chunk_0089.csv
90,anvil/generated_mrn_r8/config_shard_0090.yaml,80.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0090.csv,results/anvil_mrn_r8/raw_chunk_0090.csv
91,anvil/generated_mrn_r8/config_shard_0091.yaml,80.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0091.csv,results/anvil_mrn_r8/raw_chunk_0091.csv
92,anvil/generated_mrn_r8/config_shard_0092.yaml,80.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0092.csv,results/anvil_mrn_r8/raw_chunk_0092.csv
93,anvil/generated_mrn_r8/config_shard_0093.yaml,80.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0093.csv,results/anvil_mrn_r8/raw_chunk_0093.csv
94,anvil/generated_mrn_r8/config_shard_0094.yaml,80.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0094.csv,results/anvil_mrn_r8/raw_chunk_0094.csv
95,anvil/generated_mrn_r8/config_shard_0095.yaml,80.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0095.csv,results/anvil_mrn_r8/raw_chunk_0095.csv
96,anvil/generated_mrn_r8/config_shard_0096.yaml,100.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0096.csv,results/anvil_mrn_r8/raw_chunk_0096.csv
97,anvil/generated_mrn_r8/config_shard_0097.yaml,100.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0097.csv,results/anvil_mrn_r8/raw_chunk_0097.csv
98,anvil/generated_mrn_r8/config_shard_0098.yaml,100.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0098.csv,results/anvil_mrn_r8/raw_chunk_0098.csv
99,anvil/generated_mrn_r8/config_shard_0099.yaml,100.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0099.csv,results/anvil_mrn_r8/raw_chunk_0099.csv
100,anvil/generated_mrn_r8/config_shard_0100.yaml,100.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0100.csv,results/anvil_mrn_r8/raw_chunk_0100.csv
101,anvil/generated_mrn_r8/config_shard_0101.yaml,100.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0101.csv,results/anvil_mrn_r8/raw_chunk_0101.csv
102,anvil/generated_mrn_r8/config_shard_0102.yaml,100.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0102.csv,results/anvil_mrn_r8/raw_chunk_0102.csv
103,anvil/generated_mrn_r8/config_shard_0103.yaml,100.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0103.csv,results/anvil_mrn_r8/raw_chunk_0103.csv
104,anvil/generated_mrn_r8/config_shard_0104.yaml,100.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0104.csv,results/anvil_mrn_r8/raw_chunk_0104.csv
105,anvil/generated_mrn_r8/config_shard_0105.yaml,100.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0105.csv,results/anvil_mrn_r8/raw_chunk_0105.csv
106,anvil/generated_mrn_r8/config_shard_0106.yaml,100.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0106.csv,results/anvil_mrn_r8/raw_chunk_0106.csv
107,anvil/generated_mrn_r8/config_shard_0107.yaml,100.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0107.csv,results/anvil_mrn_r8/raw_chunk_0107.csv
108,anvil/generated_mrn_r8/config_shard_0108.yaml,120.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0108.csv,results/anvil_mrn_r8/raw_chunk_0108.csv
109,anvil/generated_mrn_r8/config_shard_0109.yaml,120.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0109.csv,results/anvil_mrn_r8/raw_chunk_0109.csv
110,anvil/generated_mrn_r8/config_shard_0110.yaml,120.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0110.csv,results/anvil_mrn_r8/raw_chunk_0110.csv
111,anvil/generated_mrn_r8/config_shard_0111.yaml,120.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0111.csv,results/anvil_mrn_r8/raw_chunk_0111.csv
112,anvil/generated_mrn_r8/config_shard_0112.yaml,120.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0112.csv,results/anvil_mrn_r8/raw_chunk_0112.csv
113,anvil/generated_mrn_r8/config_shard_0113.yaml,120.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0113.csv,results/anvil_mrn_r8/raw_chunk_0113.csv
114,anvil/generated_mrn_r8/config_shard_0114.yaml,120.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0114.csv,results/anvil_mrn_r8/raw_chunk_0114.csv
